    0.025 -0.387E+00  0.499E+01  0.000E+00  0.616E-02  0.760E+01  0.000E+00
    0.075  0.507E+00  0.512E+02  0.000E+00  0.268E+00  0.903E+02  0.000E+00
    0.125  0.897E+01  0.114E+03  0.000E+00  0.528E+00  0.162E+03  0.000E+00
    0.175  0.242E+02  0.190E+03  0.000E+00  0.126E+01  0.195E+03  0.000E+00
    0.225  0.334E+02  0.276E+03  0.000E+00  0.249E+01  0.208E+03  0.000E+00
    0.275  0.354E+02  0.370E+03  0.000E+00  0.411E+01  0.240E+03  0.000E+00
    0.325  0.349E+02  0.458E+03  0.000E+00  0.627E+01  0.294E+03  0.000E+00
    0.375  0.350E+02  0.536E+03  0.000E+00  0.808E+01  0.361E+03  0.000E+00
    0.425  0.401E+02  0.627E+03  0.000E+00  0.873E+01  0.434E+03  0.000E+00
    0.475  0.488E+02  0.758E+03  0.000E+00  0.805E+01  0.515E+03  0.000E+00
    0.525  0.532E+02  0.963E+03  0.000E+00  0.659E+01  0.604E+03  0.000E+00
    0.575  0.595E+02  0.122E+04  0.000E+00  0.619E+01  0.679E+03  0.000E+00
    0.625  0.734E+02  0.149E+04  0.000E+00  0.795E+01  0.723E+03  0.000E+00
    0.675  0.832E+02  0.182E+04  0.000E+00  0.103E+02  0.768E+03  0.000E+00
    0.725  0.866E+02  0.236E+04  0.000E+00  0.112E+02  0.833E+03  0.000E+00
    0.775  0.908E+02  0.362E+04  0.000E+00  0.109E+02  0.909E+03  0.000E+00
    0.825  0.103E+03  0.621E+04  0.000E+00  0.108E+02  0.974E+03  0.000E+00
    0.875  0.121E+03  0.921E+04  0.000E+00  0.109E+02  0.101E+04  0.000E+00
    0.925  0.131E+03  0.111E+05  0.000E+00  0.109E+02  0.101E+04  0.000E+00
    0.975  0.133E+03  0.122E+05  0.000E+00  0.110E+02  0.102E+04  0.000E+00
    1.025  0.133E+03  0.135E+05  0.000E+00  0.112E+02  0.102E+04  0.000E+00
    1.075  0.133E+03  0.147E+05  0.000E+00  0.115E+02  0.102E+04  0.000E+00
    1.125  0.135E+03  0.158E+05  0.000E+00  0.119E+02  0.102E+04  0.000E+00
    1.175  0.140E+03  0.168E+05  0.000E+00  0.119E+02  0.102E+04  0.000E+00
    1.225  0.151E+03  0.178E+05  0.000E+00  0.113E+02  0.102E+04  0.000E+00
    1.275  0.172E+03  0.186E+05  0.000E+00  0.104E+02  0.103E+04  0.000E+00
    1.325  0.188E+03  0.194E+05  0.000E+00  0.985E+01  0.104E+04  0.000E+00
    1.375  0.190E+03  0.199E+05  0.000E+00  0.100E+02  0.106E+04  0.000E+00
    1.425  0.182E+03  0.204E+05  0.000E+00  0.107E+02  0.107E+04  0.000E+00
    1.475  0.163E+03  0.209E+05  0.000E+00  0.111E+02  0.107E+04  0.000E+00
    1.525  0.142E+03  0.215E+05  0.000E+00  0.108E+02  0.106E+04  0.000E+00
    1.575  0.133E+03  0.222E+05  0.000E+00  0.998E+01  0.106E+04  0.000E+00
    1.625  0.133E+03  0.227E+05  0.000E+00  0.949E+01  0.106E+04  0.000E+00
    1.675  0.146E+03  0.230E+05  0.000E+00  0.970E+01  0.106E+04  0.000E+00
    1.725  0.172E+03  0.232E+05  0.000E+00  0.102E+02  0.107E+04  0.000E+00
    1.775  0.188E+03  0.235E+05  0.000E+00  0.110E+02  0.108E+04  0.000E+00
    1.825  0.198E+03  0.237E+05  0.000E+00  0.124E+02  0.108E+04  0.000E+00
    1.875  0.213E+03  0.240E+05  0.000E+00  0.135E+02  0.108E+04  0.000E+00
    1.925  0.221E+03  0.246E+05  0.000E+00  0.138E+02  0.105E+04  0.000E+00
    1.975  0.218E+03  0.251E+05  0.000E+00  0.138E+02  0.102E+04  0.000E+00
    2.025  0.209E+03  0.254E+05  0.000E+00  0.133E+02  0.101E+04  0.000E+00
    2.075  0.200E+03  0.256E+05  0.000E+00  0.124E+02  0.104E+04  0.000E+00
    2.125  0.190E+03  0.261E+05  0.000E+00  0.118E+02  0.109E+04  0.000E+00
    2.175  0.184E+03  0.266E+05  0.000E+00  0.118E+02  0.112E+04  0.000E+00
    2.225  0.182E+03  0.270E+05  0.000E+00  0.116E+02  0.111E+04  0.000E+00
    2.275  0.176E+03  0.274E+05  0.000E+00  0.111E+02  0.108E+04  0.000E+00
    2.325  0.173E+03  0.278E+05  0.000E+00  0.108E+02  0.107E+04  0.000E+00
    2.375  0.172E+03  0.283E+05  0.000E+00  0.100E+02  0.106E+04  0.000E+00
    2.425  0.172E+03  0.287E+05  0.000E+00  0.862E+01  0.105E+04  0.000E+00
    2.475  0.170E+03  0.292E+05  0.000E+00  0.792E+01  0.106E+04  0.000E+00
    2.525  0.165E+03  0.296E+05  0.000E+00  0.789E+01  0.106E+04  0.000E+00
    2.575  0.160E+03  0.299E+05  0.000E+00  0.788E+01  0.106E+04  0.000E+00
    2.625  0.158E+03  0.304E+05  0.000E+00  0.788E+01  0.106E+04  0.000E+00
    2.675  0.157E+03  0.309E+05  0.000E+00  0.849E+01  0.106E+04  0.000E+00
    2.725  0.155E+03  0.312E+05  0.000E+00  0.972E+01  0.106E+04  0.000E+00
    2.775  0.152E+03  0.316E+05  0.000E+00  0.103E+02  0.106E+04  0.000E+00
    2.825  0.150E+03  0.322E+05  0.000E+00  0.103E+02  0.106E+04  0.000E+00
